Precinct,Adjusted_or_Unadjusted,Census_Total_Pop,Adjusted_Total_Pop,Adjusted_One_Race_Pop,Adjusted_White_Alone_Pop,Adjusted_Black_Alone_Pop,Adjusted_American_Indian_Alaskan_Native_Alone_Pop,Adjusted_Asian_Alone_Pop,Adjusted_Native_Hawaiian_Pacific_Islander_Alone_Pop,Adjusted_Other_Race_Alone_Pop,Adjusted_Multiracial_Pop,Adjusted_Hispanic_Latino_Pop,Adjusted_Total_Adult_Pop
028-003,Adj,515,529,485,464,NA,2,5,0,2,20,24,453
028-004,Adj,959,966,904,875,NA,4,3,3,1,26,36,791
028-005,Adj,2128,2141,2016,1961,NA,3,6,1,12,46,79,1705
028-006,Adj,3088,3118,2931,2784,NA,6,16,3,45,83,104,2479
028-007,Adj,1473,1488,1424,1328,NA,6,9,0,33,33,31,1206
028-008,Adj,2096,2121,2011,1899,NA,2,10,0,25,63,47,1683
028-009,Adj,3080,3105,2858,2392,NA,8,48,0,11,123,124,2478
028-010,Adj,2587,2604,2434,2144,NA,5,21,0,16,107,63,2125
028-011,Adj,2283,2302,2185,1963,NA,2,7,0,9,48,69,1869
028-012,Adj,2050,2067,1889,1460,NA,13,47,0,19,106,72,1725
028-013,Adj,1982,2004,1910,1799,NA,4,10,0,8,62,32,1575
028-014,Adj,889,901,848,773,NA,0,4,0,10,29,24,710
028-015,Adj,2603,2612,2384,1619,NA,4,36,2,6,94,134,2082
