County,County Name,Precinct,Congressional,Legislative,Office Name,Candidate Name,Party,Winner,Write-In?,Early Votes for Candidate,Early Votes Against,Election Night Votes for Candidate,Election Night Votes Against,Mail-In Ballot 1 Votes for Candidate,Mail-In Ballot 1 Votes Against,Provisional Votes for Candidate,Provisional Votes Against,Mail-In Ballot 2 Votes for Candidate,Mail-In Ballot 2 Votes Against,Total Votes For Candidate,Total Votes Against,Total Votes Cast
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,David Lashar and Christiana Logansmith,LIB,NA,NA,0,NA,12,NA,3,NA,1,NA,0,NA,16,0,16
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,Nancy Wallace and Patrick Elder,GRN,NA,NA,0,NA,4,NA,1,NA,1,NA,0,NA,6,0,6
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,David Harding and Cathy White,WCP,NA,NA,0,NA,3,NA,0,NA,0,NA,0,NA,3,0,3
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,Kyle Sefcik and Katie Lee,UNA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-003,07,46,Governor / Lt. Governor,Other Write-Ins,NA,NA,Y,0,NA,0,NA,1,NA,0,NA,1,NA,2,0,2
03,Baltimore City,001-003,07,46,Comptroller,Barry Glassman,REP,NA,NA,22,NA,92,NA,25,NA,4,NA,14,NA,157,0,157
03,Baltimore City,001-003,07,46,Comptroller,Brooke Elizabeth Lierman,DEM,Y,NA,85,NA,302,NA,155,NA,34,NA,117,NA,693,0,693
03,Baltimore City,001-003,07,46,Comptroller,Other Write-Ins,NA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-003,07,46,Attorney General,Michael Anthony Peroutka,REP,NA,NA,18,NA,86,NA,20,NA,3,NA,7,NA,134,0,134
03,Baltimore City,001-003,07,46,Attorney General,Anthony G. Brown,DEM,Y,NA,86,NA,307,NA,158,NA,35,NA,121,NA,707,0,707
03,Baltimore City,001-003,07,46,Attorney General,Other Write-Ins,NA,NA,Y,1,NA,0,NA,0,NA,0,NA,1,NA,2,0,2
03,Baltimore City,001-003,07,46,U.S. Senator,Chris Chaffee,REP,NA,NA,17,NA,72,NA,19,NA,2,NA,9,NA,119,0,119
03,Baltimore City,001-003,07,46,U.S. Senator,Chris Van Hollen,DEM,Y,NA,90,NA,321,NA,162,NA,37,NA,121,NA,731,0,731
03,Baltimore City,001-003,07,46,U.S. Senator,Scottie Griffin,DEM,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-003,07,46,U.S. Senator,Andrew J. Wildman,UNA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-003,07,46,U.S. Senator,Other Write-Ins,NA,NA,Y,1,NA,0,NA,0,NA,0,NA,0,NA,1,0,1
03,Baltimore City,001-003,07,46,U.S. Congress,Scott M. Collier,REP,NA,NA,20,NA,87,NA,23,NA,3,NA,10,NA,143,0,143
03,Baltimore City,001-003,07,46,U.S. Congress,Kweisi Mfume,DEM,Y,NA,86,NA,304,NA,152,NA,36,NA,118,NA,696,0,696
03,Baltimore City,001-003,07,46,U.S. Congress,Other Write-Ins,NA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-003,07,46,State Senator,Emmanuel Digman,REP,NA,NA,17,NA,71,NA,16,NA,3,NA,10,NA,117,0,117
03,Baltimore City,001-003,07,46,State Senator,Bill Ferguson,DEM,Y,NA,88,NA,318,NA,162,NA,34,NA,113,NA,715,0,715
03,Baltimore City,001-003,07,46,State Senator,Other Write-Ins,NA,NA,Y,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,0
03,Baltimore City,001-003,07,46,House of Delegates,Pete Waters,REP,NA,NA,15,NA,94,NA,24,NA,3,NA,12,NA,148,0,148
03,Baltimore City,001-003,07,46,House of Delegates,Luke Clippinger,DEM,Y,NA,81,NA,286,NA,144,NA,28,NA,104,NA,643,0,643
